condition,setting,message_count,hit_count,fraction,mode,source_file,path
baseline,llama_persona,30,4,0.13,strict,actions.jsonl,/Users/sunbo/CodeRepo_Agent-Collaboration-Simulation/experiments/finalres_copy/llama_persona/hidden_profile/baseline
baseline,llama_collab,17,3,0.18,strict,actions.jsonl,/Users/sunbo/CodeRepo_Agent-Collaboration-Simulation/experiments/finalres_copy/llama_collab/hidden_profile/baseline
baseline,qwen_persona,54,5,0.09,strict,actions.jsonl,/Users/sunbo/CodeRepo_Agent-Collaboration-Simulation/experiments/finalres_copy/qwen_persona/hidden_profile/baseline
baseline,qwen_collab,44,7,0.16,strict,actions.jsonl,/Users/sunbo/CodeRepo_Agent-Collaboration-Simulation/experiments/finalres_copy/qwen_collab/hidden_profile/baseline
baseline,gpt_persona,24,14,0.58,strict,actions.jsonl,/Users/sunbo/CodeRepo_Agent-Collaboration-Simulation/experiments/finalres_copy/gpt_persona/hidden_profile/baseline
baseline,gpt_collab,27,9,0.33,strict,actions.jsonl,/Users/sunbo/CodeRepo_Agent-Collaboration-Simulation/experiments/finalres_copy/gpt_collab/hidden_profile/baseline
baseline,claude_persona,46,13,0.28,strict,actions.jsonl,/Users/sunbo/CodeRepo_Agent-Collaboration-Simulation/experiments/finalres_copy/claude_persona/hidden_profile/baseline
baseline,claude_collab,15,3,0.2,strict,actions.jsonl,/Users/sunbo/CodeRepo_Agent-Collaboration-Simulation/experiments/finalres_copy/claude_collab/hidden_profile/baseline
bandwidth_max_words_5,llama_persona,30,2,0.07,strict,actions.jsonl,/Users/sunbo/CodeRepo_Agent-Collaboration-Simulation/experiments/finalres_copy/llama_persona/hidden_profile/bandwidth_max_words_5
bandwidth_max_words_5,llama_collab,29,3,0.1,strict,actions.jsonl,/Users/sunbo/CodeRepo_Agent-Collaboration-Simulation/experiments/finalres_copy/llama_collab/hidden_profile/bandwidth_max_words_5
bandwidth_max_words_5,qwen_persona,69,10,0.14,strict,actions.jsonl,/Users/sunbo/CodeRepo_Agent-Collaboration-Simulation/experiments/finalres_copy/qwen_persona/hidden_profile/bandwidth_max_words_5
bandwidth_max_words_5,qwen_collab,47,1,0.02,strict,actions.jsonl,/Users/sunbo/CodeRepo_Agent-Collaboration-Simulation/experiments/finalres_copy/qwen_collab/hidden_profile/bandwidth_max_words_5
bandwidth_max_words_5,gpt_persona,40,6,0.15,strict,actions.jsonl,/Users/sunbo/CodeRepo_Agent-Collaboration-Simulation/experiments/finalres_copy/gpt_persona/hidden_profile/bandwidth_max_words_5
bandwidth_max_words_5,gpt_collab,54,1,0.02,strict,actions.jsonl,/Users/sunbo/CodeRepo_Agent-Collaboration-Simulation/experiments/finalres_copy/gpt_collab/hidden_profile/bandwidth_max_words_5
bandwidth_max_words_5,claude_persona,77,2,0.03,strict,actions.jsonl,/Users/sunbo/CodeRepo_Agent-Collaboration-Simulation/experiments/finalres_copy/claude_persona/hidden_profile/bandwidth_max_words_5
bandwidth_max_words_5,claude_collab,42,2,0.05,strict,actions.jsonl,/Users/sunbo/CodeRepo_Agent-Collaboration-Simulation/experiments/finalres_copy/claude_collab/hidden_profile/bandwidth_max_words_5
